DOI,Name,Electrolyte,Material-1,Material-2,Material-3,Mass loading (mg/cm2),Geometric Pt loading (ug/cm2),Pt wt%,Pt type,Pt size (nm),Carbon type,Doped type,Doped wt%,ID/IG ratio,SSA for Sample (m2/g),Pore size (nm),Pore volume (cm3/g),SSA for Carbon (m2/g),Pore size for Carbon (nm),Pover volume for Carbon (cm3/g),Overpotential (mV)@10(mA/cm2),Tafel Plot,Rct,TOF (H2/s),Faradadic Efficiency,ECSA (m/g) ,Mass Activity (A/mg pt-1)
10.1039/c9ta04010b,Pt/CNTS-ECR,0.5M H2SO4 ,Pt,C,,0.14,,0.35,cluster,1,CNT,0,0,0.63,,,,92.85,13.26,0.348,34,26,2.5,5.02E-08,,,
10.1039/c9ta04010b,Pt/CNTS-CR,0.5M H2SO4 ,Pt,C,,0.14,,0.21,cluster,4,CNT,0,0,0.3,,,,92.85,13.26,0.348,110,39,,2.20E-08,,,
10.1039/c9ta04010b,20 Pt/C,,Pt,C,,0.14,,19,,,,0,0,,,,,,,,43,30,,5.80E-08,,,
10.1039/c9ta04010b,Pt/CNTS-ECR,0.1M H2SO4 ,Pt,C,,0.14,,0.35,cluster,1,CNT,0,0,0.63,,,,92.85,13.26,0.348,30,26,4.8,,,,
10.1039/c9ta04010b,Pt/CNTS-ECR,0.2M H2SO4 ,Pt,C,,0.14,,0.35,cluster,1,CNT,0,0,0.63,,,,92.85,13.26,0.348,31,,3.4,,,,
10.1039/c9ta04010b,Pt/CNTS-ECR,0.3 MH2SO4 ,Pt,C,,0.14,,0.35,cluster,1,CNT,0,0,0.63,,,,92.85,13.26,0.348,32,,3.6,,,,
10.1016/j.jcat.2018.11.006,PtNP/OMC,0.5M H2SO4 ,Pt,C,,,1.6,2.3,nanoparticles,2.1,mesoporours carbon,0,0,,660,4.9,0.67,,,,26.2,,,,,,
10.1016/j.jcat.2018.11.006,PtNP/OMC,0.5M H2SO4 ,Pt,C,,,0.8,2.3,nanoparticles,2.1,mesoporours carbon,0,0,,660,4.9,0.67,,,,31.2,,,,,,
10.1016/j.jcat.2018.11.006,PtNP/OMC,0.5M H2SO4 ,Pt,C,,,1.1,2.3,nanoparticles,2.1,mesoporours carbon,0,0,,660,4.9,0.67,,,,33.2,32,,,,,
10.1007/s11051-018-4436-7,Pt/rGO,0.1M KOH,Pt,C,,,0.052,40,nanoparticles,20,rGO,0,0,1.21,,,,,,,149,88,,,,54.5,
10.1149/2.0981501jes,Pt/C,0.5M H2SO4 ,Pt,C,,,2,4.7,nanoparticles,2.2,Vulcan carbon,,,,,,,250,30,,,,,,,,
10.3389/fchem.2018.00523,Pt/CF50,1M H2SO4 ,Pt,C,,,7.5,,,43,3D carbon,,,,,,,,,,160,128,,,,11.066,
