DOI,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
10.1021/acsami.6b03924,31.4,5,485,4.52,0.3,10,50
10.1021/acsami.6b03924,31.4,5,485,4.52,0.3,20,74
10.1021/acsami.9b20781,20.3,4.24,36.1,0,0.3,10,18.2
10.1021/acsami.9b20781,20.3,4.24,36.1,0,0.3,20,22
10.1021/acsami.9b20781,20.3,4.24,36.1,0,14,10,63
10.1021/acsami.9b20781,20.3,4.24,36.1,0,14,20,97
10.1021/acsami.6b03924,20.1,5,509,3.05,0.3,10,66
10.1021/acsami.6b03924,20.1,5,509,3.05,0.3,20,92
10.1021/acscatal.9b02305,20,3.32,200.1,0,0.3,10,42.03
10.1021/acscatal.9b02305,20,3.32,200.1,0,0.3,20,51
10.1021/acscatal.9b02305,20,3.32,200.1,0,0.3,40,63
10.1021/acscatal.9b02305,20,3.32,200.1,0,0.3,50,67
10.1021/acscatal.9b02305,20,3.32,200.1,0,0.3,100,87.4
10.1039/c9ta04010b,19,3,92.85,0,0.3,10,43
10.1039/c9ta04010b,19,3,92.85,0,0.3,20,66
10.1039/c9ta04010b,19,3,92.85,0,0.3,40,95
10.1039/c9ta04010b,19,3,92.85,0,0.3,50,105
10.1039/c9ta04010b,19,3,92.85,0,0.3,100,167
10.1039/c9ta04010b,19,3,92.85,0,0.3,150,227
10.1039/c9ta04010b,19,3,92.85,0,0.3,200,296
10.3390/ma13071513,18.94,5,527,6.26,0.3,10,47
10.3390/ma13071513,18.94,5,527,6.26,0.3,20,71
10.3390/ma13071513,18.94,5,527,6.26,0.3,40,118
10.3390/ma13071513,18.94,5,527,6.26,0.3,50,140
10.3390/ma13071513,18.7,4,527,6.98,0.3,10,31
10.3390/ma13071513,18.7,4,527,6.98,0.3,20,47
10.3390/ma13071513,18.7,4,527,6.98,0.3,40,79
10.3390/ma13071513,18.7,4,527,6.98,0.3,50,93
10.1021/acsami.9b20781,17.2,3.05,55.8,0,0.3,10,14.3
10.1021/acsami.9b20781,17.2,3.05,55.8,0,0.3,20,21
10.1021/acsami.9b20781,17.2,3.05,55.8,0,14,10,37.2
10.1021/acsami.9b20781,17.2,3.05,55.8,0,14,20,72
10.1021/acsami.9b20781,15.7,2.93,46.7,0,0.3,10,16.5
10.1021/acsami.9b20781,15.7,2.93,46.7,0,0.3,20,17
10.1021/acsami.9b20781,15.7,2.93,46.7,0,14,10,48.4
10.1021/acsami.9b20781,15.7,2.93,46.7,0,14,20,56
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,0.3,10,58
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,0.3,20,69
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,0.3,40,83
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,0.3,50,90
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,0.3,60,96
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,14,10,50
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,14,20,93
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,14,40,166
10.1016/j.jelechem.2018.05.013,14,2.5,2809.7,37.69,14,50,192
10.1021/acsami.6b03924,13.6,5,491,7.22,0.3,10,47
10.1021/acsami.6b03924,13.6,5,491,7.22,0.3,20,68.5
10.1021/acsami.8b20209,11.24,10,96.5,3.4,0.3,10,32
10.1021/acsami.8b20209,11.24,10,96.5,3.4,0.3,20,36.7
10.1021/acsami.8b20209,11.24,10,96.5,3.4,0.3,40,42.5
10.1021/acsami.8b20209,11.24,10,96.5,3.4,0.3,50,43.3
10.1021/acsami.8b20209,11.24,10,96.5,3.4,0.3,100,54.3
10.1021/acsami.8b20209,11.24,10,96.5,3.4,0.3,150,66
10.1021/acsami.8b20209,11.24,10,96.5,3.4,14,10,64
10.1021/acsami.8b20209,11.24,10,96.5,3.4,14,20,96
10.1021/acsami.8b20209,11.24,10,96.5,3.4,14,40,144
10.1021/acsami.8b20209,11.24,10,96.5,3.4,14,50,166
10.1021/acsami.8b20209,11.24,10,96.5,3.4,7.4,10,34.6
10.1021/acsami.8b20209,11.24,10,96.5,3.4,7.4,20,80
10.1021/acsami.8b20209,11.24,10,96.5,3.4,7.4,40,158
10.1021/acsami.8b20209,11.24,10,96.5,3.4,7.4,50,190
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,13,10,26.7
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,13,20,34
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,13,40,53.5
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,13,50,67.3
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,0.3,10,65
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,0.3,20,76.9
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,0.3,40,93.3
10.1016/j.electacta.2019.134895,11,19,110.1,13.4,0.3,50,102
10.1039/c9cy02285f,10,3.5,254,0,0.3,10,30
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,0.3,10,41
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,0.3,20,49
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,0.3,40,57.6
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,0.3,50,60.4
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,0.3,60,64.7
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,14,10,64
10.1016/j.jelechem.2018.05.013,10,3.5,254,0,14,20,161
10.1016/j.jcat.2017.08.005,10,3.5,254,0,0.3,10,31.7
10.1016/j.jcat.2017.08.005,10,3.5,254,0,0.3,20,44.9
10.1016/j.jcat.2017.08.005,10,3.5,254,0,0.3,40,68.6
10.1016/j.jcat.2017.08.005,10,3.5,254,0,0.3,50,78.2
10.1016/j.jcat.2017.08.005,10,3.5,254,0,0.3,60,88.5
10.1021/acsami.8b20209,9.5,5,109.75,4.5,0.3,10,32
10.1021/acsami.8b20209,9.5,5,109.75,4.5,0.3,20,37.5
10.1021/acsami.8b20209,9.5,5,109.75,4.5,0.3,40,49
